Band_URL;Artist_URL;isActive
http://dbpedia.org/resource/Von_Hemmling;http://dbpedia.org/resource/John_Ferguson_(musician);False
http://dbpedia.org/resource/Von_Hemmling;http://dbpedia.org/resource/Hilarie_Sidney;False
http://dbpedia.org/resource/Landscape_(band);http://dbpedia.org/resource/John_L._Walters;False
http://dbpedia.org/resource/Landscape_(band);http://dbpedia.org/resource/Richard_James_Burgess;False
http://dbpedia.org/resource/Landscape_(band);http://dbpedia.org/resource/Andy_Pask;False
http://dbpedia.org/resource/Landscape_(band);http://dbpedia.org/resource/Peter_Thoms;False
http://dbpedia.org/resource/Slapp_Happy;http://dbpedia.org/resource/Dagmar_Krause;False
http://dbpedia.org/resource/Slapp_Happy;http://dbpedia.org/resource/Peter_Blegvad;False
http://dbpedia.org/resource/Slapp_Happy;http://dbpedia.org/resource/Anthony_Moore;False
http://dbpedia.org/resource/Faith_Global;http://dbpedia.org/resource/Jason_Guy_(singer);False
http://dbpedia.org/resource/Faith_Global;http://dbpedia.org/resource/Stevie_Shears;False
http://dbpedia.org/resource/April_Boys;http://dbpedia.org/resource/April_Boy_Regino;False
http://dbpedia.org/resource/Easy_Action_(band);http://dbpedia.org/resource/Tommy_Nilsson;False
http://dbpedia.org/resource/Parenthetical_Girls;http://dbpedia.org/resource/Brenna_Murphy;False
http://dbpedia.org/resource/Gray_Matter_(band);http://dbpedia.org/resource/Steve_Niles;False
http://dbpedia.org/resource/Cadaver_(band);http://dbpedia.org/resource/Carl-Michael_Eide;False
http://dbpedia.org/resource/Cadaver_(band);http://dbpedia.org/resource/Balvaz;False
http://dbpedia.org/resource/3rd_Strike;http://dbpedia.org/resource/Jim_Korthe;False
http://dbpedia.org/resource/Faker_(band);http://dbpedia.org/resource/Paul_Berryman;False
http://dbpedia.org/resource/Dark_Star_(band);http://dbpedia.org/resource/Christian_Hayes;False
http://dbpedia.org/resource/Dark_Star_(band);http://dbpedia.org/resource/David_Francolini;False
http://dbpedia.org/resource/Dark_Star_(band);http://dbpedia.org/resource/Laurence_O'Keefe_(rock_musician);False
http://dbpedia.org/resource/Odd_Project;http://dbpedia.org/resource/Michael_Jagmin;False
http://dbpedia.org/resource/Divine_Heresy;http://dbpedia.org/resource/Tim_Yeung;False
http://dbpedia.org/resource/Divine_Heresy;http://dbpedia.org/resource/John_Sankey_(drummer);False
http://dbpedia.org/resource/Divine_Heresy;http://dbpedia.org/resource/Joe_Payne;False
http://dbpedia.org/resource/Petitmoni;http://dbpedia.org/resource/Erina_Mano;False
http://dbpedia.org/resource/Petitmoni;http://dbpedia.org/resource/Makoto_Ogawa;False
http://dbpedia.org/resource/Petitmoni;http://dbpedia.org/resource/Saki_Nakajima_(singer);False
http://dbpedia.org/resource/Petitmoni;http://dbpedia.org/resource/Kei_Yasuda;False
http://dbpedia.org/resource/Petitmoni;http://dbpedia.org/resource/Hitomi_Yoshizawa;False
http://dbpedia.org/resource/Petitmoni;http://dbpedia.org/resource/Maki_Goto;False
http://dbpedia.org/resource/Petitmoni;http://dbpedia.org/resource/Ayaka_Kimura;False
http://dbpedia.org/resource/Petitmoni;http://dbpedia.org/resource/Mai_Hagiwara;False
http://dbpedia.org/resource/Petitmoni;http://dbpedia.org/resource/Sayaka_Ichii;False
http://dbpedia.org/resource/The_Christians_(band);http://dbpedia.org/resource/Henry_Priestman;False
http://dbpedia.org/resource/Kenickie;http://dbpedia.org/resource/Pete_Gofton;False
http://dbpedia.org/resource/Kenickie;http://dbpedia.org/resource/Lauren_Laverne;False
http://dbpedia.org/resource/Incognito_(band);http://dbpedia.org/resource/Karen_Bernod;False
http://dbpedia.org/resource/Incognito_(band);http://dbpedia.org/resource/Carleen_Anderson;False
http://dbpedia.org/resource/Incognito_(band);http://dbpedia.org/resource/Jocelyn_Brown;False
http://dbpedia.org/resource/Incognito_(band);http://dbpedia.org/resource/Snowboy;False
http://dbpedia.org/resource/Incognito_(band);http://dbpedia.org/resource/Paul_Weller;False
http://dbpedia.org/resource/Incognito_(band);http://dbpedia.org/resource/Chris_Botti;False
http://dbpedia.org/resource/Incognito_(band);http://dbpedia.org/resource/Adrian_Fry;False
http://dbpedia.org/resource/Incognito_(band);http://dbpedia.org/resource/Max_Beesley;False
http://dbpedia.org/resource/Incognito_(band);http://dbpedia.org/resource/Gavin_Harrison;False
http://dbpedia.org/resource/Incognito_(band);http://dbpedia.org/resource/Gary_Sanctuary;False
http://dbpedia.org/resource/Muleskinner_(band);http://dbpedia.org/resource/Richard_Greene_(musician);False
http://dbpedia.org/resource/Muleskinner_(band);http://dbpedia.org/resource/Bill_Keith_(musician);False
http://dbpedia.org/resource/Muleskinner_(band);http://dbpedia.org/resource/Clarence_White;False
http://dbpedia.org/resource/Muleskinner_(band);http://dbpedia.org/resource/John_Kahn;False
